raw_text_lowercase,category
heart failure with normal ejection fraction,Heart failure
left ventricular failure,Heart failure
chronic right-sided heart failure,Heart failure
heart failure with reduced ejection fraction,Heart failure
cor pulmonale,Heart failure
congestive heart failure,Heart failure
heart failure,Heart failure
ischaemic heart disease,Ischaemic heart disease
acute st segment elevation myocardial infarction,Ischaemic heart disease
acute myocardial infarction,Ischaemic heart disease
angina pectoris,Ischaemic heart disease
ihd - ischaemic heart disease,Ischaemic heart disease
ischaemic heart disease nos,Ischaemic heart disease
inferior myocard. infarct nos,Ischaemic heart disease
inferior myocardial infarction nos,Ischaemic heart disease
mi - acute myocardial infarct,Ischaemic heart disease
angina pectoris nos,Ischaemic heart disease
inferolateral myocardial ischaemia,Ischaemic heart disease
mi - acute myocardial infarction,Ischaemic heart disease
acute coronary syndrome,Ischaemic heart disease
anterior myocardial infarction nos,Ischaemic heart disease
old myocardial infarction,Ischaemic heart disease
acute anterior st segment elevation myocardial infarction,Ischaemic heart disease
