raw_text_lowercase,category
copd - chronic obstructive pulmonary disease,COPD
chronic obstructive pulmonary disease,COPD
chronic obstructive lung disease,COPD
mild chronic obstructive pulmonary disease,COPD
moderate chronic obstructive pulmonary disease,COPD
emphysema,Emphysema
pulmonary emphysema,Emphysema
emphysema nos,Emphysema
asthma-chronic obstructive pulmonary disease overlap syndrome,Asthma-COPD Overlap
chronic obstructive pulmonary disease finding,COPD
acute exacerbation of chronic obstructive airways disease,COPD
chronic obstr. airways disease,COPD
acos - asthma-chronic obstructive pulmonary disease overlap syndrome,Asthma-COPD Overlap
centrilobular emphysema,Emphysema
acute infective exacerbation of chronic obstructive pulmonary disease,COPD
asthma-chronic obstructive pulmonary disease overlap syndrom,Asthma-COPD Overlap
chronic obstructive airways disease nos,COPD
acute exacerbation of chronic obstructive pulmonary disease,COPD
chron obstruct pulmonary dis wth acute exacerbation unspec,COPD
