raw_text_lowercase,category
british or mixed british - ethnic category 2001 census,White - British
white british,White - British
white british - ethnic category 2001 census,White - British
white: english or welsh or scottish or northern irish or british - england and wales ethnic category 2011 census,White - British
english - ethnic category 2001 census,White - British
white scottish,White - British
scottish - ethnic category 2001 census,White - British
irish - ethnic category 2001 census,White - Irish
white: irish - england and wales ethnic category 2011 census,White - Irish
white irish - ethnic category 2001 census,White - Irish
white: gypsy or irish traveller - england and wales ethnic category 2011 census,White - Gypsy or Irish Traveller
white: any other white background - england and wales ethnic category 2011 census,White - Other
other white background - ethnic category 2001 census,White - Other
any other white background - ethnic category 2001 census,White - Other
polish - ethnic category 2001 census,White - Other
turkish - ethnic category 2001 census,White - Other
white - ethnic group,White - Not Specified
white,White - Not Specified

white and black caribbean - ethnic category 2001 census,Mixed or multiple ethnic groups - White and Black Caribbean
white and black african - ethnic category 2001 census,Mixed or multiple ethnic groups - White and Black African
white and asian - ethnic category 2001 census,Mixed or multiple ethnic groups - White and Asian
any other mixed background - ethnic category 2001 census,Mixed or multiple ethnic groups - Other
mixed or multiple ethnic groups: white and black caribbean - england and wales ethnic category 2011 census,Mixed or multiple ethnic groups - White and Black Caribbean
mixed or multiple ethnic groups: white and black african - england and wales ethnic category 2011 census,Mixed or multiple ethnic groups - White and Black African
mixed or multiple ethnic groups: white and asian - england and wales ethnic category 2011 census,Mixed or multiple ethnic groups - White and Asian
mixed or multiple ethnic groups: any other mixed or multiple ethnic background - england and wales ethnic category 2011 census,Mixed or multiple ethnic groups - Other
mixed - ethnic group,Mixed or multiple ethnic groups - Not Specified
other mixed background - ethnic category 2001 census,Mixed or multiple ethnic groups - Not Specified

indian - ethnic category 2001 census,Asian or Asian British - Indian
chinese - ethnic category 2001 census,Asian or Asian British - Chinese
pakistani - ethnic category 2001 census,Asian or Asian British - Pakistani
bangladeshi - ethnic category 2001 census,Asian or Asian British - Bangladeshi
any other asian background - ethnic category 2001 census,Asian or Asian British - Other
asian or asian british: indian - england and wales ethnic category 2011 census,Asian or Asian British - Indian
asian or asian british: pakistani - england and wales ethnic category 2011 census,Asian or Asian British - Pakistani
asian or asian british: bangladeshi - england and wales ethnic category 2011 census,Asian or Asian British - Bangladeshi
asian or asian british: chinese - england and wales ethnic category 2011 census,Asian or Asian British - Chinese
asian or asian british: any other asian background - england and wales ethnic category 2011 census,Asian or Asian British - Other
asian - ethnic group,Asian or Asian British - Not Specified
bangladeshi or british bangladeshi - ethnic category 2001 census,Asian or Asian British - Bangladeshi
indian or british indian - ethnic category 2001 census,Asian or Asian British - Indian
other asian background - ethnic category 2001 census,Asian or Asian British - Not Specified
other asian or asian unspecified - ethnic category 2001 census,Asian or Asian British - Not Specified

black african,Black or Black British or Caribbean or African - African
black british,Black or Black British or Caribbean or African - Black British
black british - ethnic category 2001 census,Black or Black British or Caribbean or African - Black British
african - ethnic category 2001 census,Black or Black British or Caribbean or African - African
any other black background - ethnic category 2001 census,Black or Black British or Caribbean or African - Other
black or african or caribbean or black british: other black or african or caribbean background - england and wales ethnic category 2011 census,Black or Black British or Caribbean or African - Other
caribbean - ethnic category 2001 census,Black or Black British or Caribbean or African - Caribbean
black or african or caribbean or black british: african - england and wales ethnic category 2011 census,Black or Black British or Caribbean or African - African
black or african or caribbean or black british: caribbean - england and wales ethnic category 2011 census,Black or Black British or Caribbean or African - Caribbean
black - ethnic group,Black or Black British or Caribbean or African - Not Specified
other black or black unspecified - ethnic category 2001 census,Black or Black British or Caribbean or African - Not Specified

other ethnic group: arab - england and wales ethnic category 2011 census,Other - Arab
arab - ethnic category 2001 census,Other - Arab
middle eastern (excluding israeli iranian and arab) - ethnic category 2001 census,Other - Middle Eastern

ethnic category - 2001 census,Not Stated
other - ethnic group,Other - Not Specified
not stated - ethnic category 2001 census,Not Stated
ethnic category not stated - 2001 census,Not Stated
other - ethnic category 2001 census,Other - Not Specified
not stated - england and wales ethnic category 2011 census,Not Stated
any other ethnic group - ethnic category 2001 census,Other - Not Specified
other ethnic group: any other ethnic group - england and wales ethnic category 2011 census,Other - Not Specified
