raw_text_lowercase,category
referral to pulmonary rehabilitation,Referred
pulmonary rehabilitation offered,Referred
pulmonary rehabilitation offered (situation),Referred
pulmonary rehabilitation declined,Declined
pulmonary rehabilitation programme completed,Completed
assessment for pulmonary rehabilitation completed,Excluded
pulmonary rehabilitation programme not available,Excluded
pulmonary rehabilitation programme commenced,Excluded
pulmonary rehabilitation class,Excluded
pulmonary rehabilitation,Excluded
did not complete pulmonary rehabilitation programme,Excluded
